Ticket_ID,Age,Ticket_Price,Movie_Genre,Seat_Type,Number_of_Person,Purchase_Again,Cluster,Year
C4419,48,13.01,Drama,VIP,4,No,1.0,
R9005,54,11.23,Action,VIP,6,No,1.0,
W3785,40,23.41,Horror,VIP,7,No,2.0,
A5307,45,21.46,Comedy,Standard,6,No,2.0,
U1538,59,21.94,Horror,Standard,5,Yes,4.0,
P9720,43,10.91,Action,Standard,1,Yes,1.0,
O2737,55,11.97,Comedy,VIP,6,No,1.0,
Q9149,60,23.13,Horror,VIP,1,Yes,4.0,
I2866,49,21.91,Horror,Premium,5,No,2.0,
Z0663,51,19.13,Horror,VIP,2,No,4.0,
N9718,48,14.02,Horror,VIP,1,Yes,1.0,
B8006,52,16.35,Comedy,VIP,6,No,2.0,
I5327,22,20.66,Sci-Fi,Standard,1,Yes,3.0,
L5541,45,22.54,Sci-Fi,Standard,5,No,2.0,
X2102,41,14.41,Comedy,VIP,1,No,1.0,
Z4756,21,12.4,Drama,Standard,7,Yes,2.0,
U1070,37,18.8,Horror,Premium,1,No,3.0,
H9188,38,13.73,Sci-Fi,Standard,3,Yes,0.0,
D5033,25,10.41,Sci-Fi,Premium,1,Yes,0.0,
R3941,42,22.41,Action,Premium,6,No,2.0,
M2787,43,15.92,Sci-Fi,VIP,3,No,1.0,
Z3492,36,23.72,Action,VIP,4,Yes,3.0,
D8428,19,12.09,Horror,Premium,1,No,0.0,
T6734,36,15.17,Drama,VIP,3,Yes,0.0,
X5538,21,14.99,Drama,Premium,7,No,2.0,
A5566,54,22.72,Comedy,Premium,4,No,4.0,
B1663,47,15.16,Drama,Standard,1,Yes,1.0,
M4304,53,20.01,Sci-Fi,Standard,1,Yes,4.0,
Z1944,22,21.52,Horror,Standard,5,Yes,3.0,
Q1502,22,14.95,Sci-Fi,VIP,5,No,2.0,
J8101,52,13.9,Action,VIP,1,Yes,1.0,
R4219,54,17.6,Comedy,VIP,6,Yes,2.0,
R0307,40,10.06,Drama,VIP,2,Yes,1.0,
Y0899,59,22.85,Drama,Standard,1,Yes,4.0,
B3335,31,22.23,Action,VIP,1,No,3.0,
Y7896,50,10.1,Horror,VIP,1,No,1.0,
K7716,27,22.68,Horror,VIP,1,No,3.0,
H7411,39,23.0,Sci-Fi,Standard,1,No,3.0,
V4466,56,20.16,Sci-Fi,Standard,1,No,4.0,
I0732,52,14.37,Drama,Premium,1,Yes,1.0,
K5903,36,18.0,Horror,VIP,4,No,2.0,
R9300,34,17.9,Comedy,VIP,3,No,3.0,
Y1327,23,19.44,Sci-Fi,Premium,1,No,3.0,
W2948,34,19.64,Horror,Standard,1,No,3.0,
M9787,39,24.65,Sci-Fi,Standard,5,No,2.0,
G3600,58,11.94,Horror,Premium,3,No,1.0,
M3870,18,10.6,Comedy,Standard,1,No,0.0,
F7288,60,15.39,Drama,VIP,1,No,1.0,
G9465,40,23.56,Action,VIP,6,No,2.0,
U2868,43,18.7,Comedy,Premium,4,No,2.0,
T5208,22,23.75,Action,Premium,1,No,3.0,
W4817,21,14.36,Sci-Fi,Standard,1,Yes,0.0,
G5771,42,11.49,Drama,Standard,3,No,1.0,
E3613,46,11.5,Action,VIP,7,No,2.0,
H7914,38,10.68,Action,Premium,1,Yes,0.0,
R8886,34,22.99,Comedy,Standard,7,No,2.0,
A4304,49,13.59,Action,Premium,1,Yes,1.0,
T4531,23,17.07,Horror,Premium,1,No,0.0,
X7448,55,24.76,Action,Standard,3,Yes,4.0,
Q3075,23,15.8,Sci-Fi,VIP,1,No,0.0,
E5507,51,23.81,Sci-Fi,VIP,3,No,4.0,
A7562,26,24.82,Comedy,Standard,4,No,3.0,
U6249,31,10.34,Action,Premium,7,No,2.0,
X7898,56,18.98,Horror,VIP,7,No,2.0,
M6955,47,16.37,Horror,Premium,1,Yes,1.0,
S1872,26,24.33,Horror,Standard,1,Yes,3.0,
R3505,42,23.03,Horror,Standard,3,Yes,4.0,
Y2711,29,13.42,Action,Standard,1,Yes,0.0,
J7159,53,13.06,Comedy,Standard,4,Yes,1.0,
M9467,23,10.01,Action,Premium,4,Yes,0.0,
N4655,59,19.89,Action,VIP,5,No,4.0,
M9022,34,24.17,Action,Premium,6,Yes,2.0,
H1997,32,13.14,Comedy,VIP,1,No,0.0,
R3056,39,19.95,Horror,Standard,1,Yes,3.0,
V4937,38,22.48,Sci-Fi,VIP,1,No,3.0,
S7251,42,14.26,Horror,VIP,4,Yes,1.0,
R5976,33,19.09,Comedy,Premium,5,Yes,2.0,
F1526,33,19.49,Drama,Standard,1,Yes,3.0,
Z2440,37,22.52,Sci-Fi,Standard,6,Yes,2.0,
B4636,45,15.43,Drama,VIP,4,Yes,1.0,
W7032,28,14.31,Drama,Standard,7,No,2.0,
P8545,47,14.69,Drama,Premium,6,Yes,2.0,
E8060,38,12.29,Drama,Premium,5,No,2.0,
I5706,58,20.08,Comedy,Premium,1,No,4.0,
I9952,44,16.54,Action,Premium,3,No,1.0,
F4653,51,22.32,Action,VIP,2,No,4.0,
M5646,60,10.4,Comedy,Standard,4,No,1.0,
P2752,49,12.6,Comedy,Premium,1,Yes,1.0,
X3029,33,17.05,Comedy,Standard,1,Yes,0.0,
P0690,25,17.8,Action,VIP,1,No,3.0,
G4541,53,10.42,Horror,Standard,1,No,1.0,
R1080,21,20.2,Drama,Standard,7,Yes,2.0,
N5074,29,23.93,Sci-Fi,VIP,1,Yes,3.0,
Q8760,19,17.34,Drama,Premium,3,No,3.0,
L2393,23,22.33,Comedy,Premium,1,Yes,3.0,
S6507,21,19.1,Sci-Fi,Standard,1,Yes,3.0,
Z9614,47,24.86,Action,Standard,6,No,2.0,
U5154,55,22.38,Drama,Standard,1,Yes,4.0,
C1641,31,19.31,Action,Standard,7,Yes,2.0,
B0694,21,15.57,Action,Premium,5,No,2.0,
U3427,51,11.93,Horror,Standard,1,No,1.0,
Y4232,55,14.86,Sci-Fi,Standard,4,No,1.0,
L1895,29,13.11,Sci-Fi,Standard,6,No,2.0,
C4173,40,17.28,Horror,VIP,1,No,1.0,
N9701,26,19.34,Action,VIP,1,Yes,3.0,
D1959,43,18.99,Sci-Fi,VIP,1,Yes,4.0,
K8305,48,12.08,Comedy,VIP,3,Yes,1.0,
D6466,27,21.99,Action,Standard,1,No,3.0,
T8132,35,10.98,Comedy,Premium,1,No,0.0,
K2667,24,10.2,Comedy,Standard,4,Yes,0.0,
C8150,44,12.16,Comedy,VIP,1,Yes,1.0,
J1563,55,23.26,Horror,Premium,1,Yes,4.0,
X7552,52,24.27,Horror,Premium,3,No,4.0,
M4546,57,11.68,Drama,Standard,1,Yes,1.0,
J0855,22,22.22,Drama,Standard,5,No,3.0,
G9346,35,14.6,Sci-Fi,Standard,5,No,2.0,
Z3248,49,16.1,Drama,Standard,5,Yes,2.0,
H4048,51,24.9,Comedy,Premium,4,Yes,4.0,
U8238,53,20.95,Horror,Standard,1,No,4.0,
V3617,25,13.47,Action,Premium,2,No,0.0,
L3265,22,15.46,Drama,VIP,1,Yes,0.0,
O5299,29,17.19,Sci-Fi,Premium,7,Yes,2.0,
V7547,57,21.89,Horror,Premium,1,Yes,4.0,
B5560,21,16.28,Horror,Standard,2,Yes,0.0,
B4108,60,17.51,Horror,VIP,1,Yes,4.0,
K1779,23,14.43,Comedy,Premium,2,Yes,0.0,
U0585,35,12.59,Drama,Premium,2,No,0.0,
H3200,52,17.31,Action,VIP,1,Yes,1.0,
Z1729,57,20.34,Horror,VIP,4,Yes,4.0,
V0788,54,11.49,Horror,Premium,1,Yes,1.0,
Z7851,24,10.83,Horror,VIP,6,No,2.0,
Q3782,27,11.38,Action,Premium,1,Yes,0.0,
G4760,47,17.0,Action,Premium,6,No,2.0,
X2205,56,19.35,Drama,Standard,6,No,2.0,
Z8477,52,15.07,Drama,Premium,2,Yes,1.0,
X4895,22,18.86,Sci-Fi,Standard,5,Yes,2.0,
Q5203,54,23.7,Horror,Premium,6,No,2.0,
K2108,34,23.48,Drama,VIP,7,Yes,2.0,
D3548,18,15.35,Horror,Standard,2,No,0.0,
O4248,23,23.16,Action,VIP,1,No,3.0,
P1627,21,20.8,Comedy,Standard,3,Yes,3.0,
I0309,27,21.1,Drama,Premium,6,Yes,2.0,
L6833,43,21.6,Comedy,Standard,1,No,4.0,
G9872,23,24.35,Comedy,VIP,1,Yes,3.0,
X8987,22,21.36,Comedy,VIP,7,No,2.0,
T9292,32,24.97,Horror,VIP,1,No,3.0,
Z8755,49,17.3,Sci-Fi,Premium,1,Yes,1.0,
K4317,32,21.16,Action,Standard,7,Yes,2.0,
G5822,25,10.92,Horror,Standard,1,Yes,0.0,
A1540,52,14.44,Drama,Standard,4,Yes,1.0,
G4364,38,12.12,Comedy,VIP,4,No,0.0,
U2950,41,17.52,Sci-Fi,VIP,4,No,2.0,
G2005,50,10.04,Action,VIP,1,No,1.0,
N6776,51,13.63,Drama,Premium,6,No,2.0,
G5914,44,22.98,Action,Premium,1,No,4.0,
U1532,21,18.32,Horror,VIP,1,Yes,3.0,
M9147,41,20.28,Horror,Standard,1,No,4.0,
G7315,38,21.31,Action,Premium,2,No,3.0,
F5373,50,15.99,Sci-Fi,Premium,1,Yes,1.0,
E4245,44,18.52,Comedy,Standard,4,No,2.0,
T9628,32,10.26,Comedy,Standard,1,No,0.0,
Q7033,43,21.87,Drama,Premium,1,No,4.0,
D0342,27,12.12,Sci-Fi,Premium,1,No,0.0,
C7811,25,12.12,Comedy,Premium,1,Yes,0.0,
C1040,45,14.4,Horror,Standard,1,No,1.0,
U6973,27,14.37,Comedy,Standard,3,Yes,0.0,
D5713,40,19.04,Drama,Premium,1,Yes,4.0,
N1065,51,17.67,Horror,Premium,6,No,2.0,
Q1140,39,22.14,Action,VIP,1,Yes,3.0,
H9115,53,14.84,Drama,Premium,6,No,2.0,
R5096,26,12.57,Comedy,Premium,4,No,0.0,
K4229,57,10.86,Action,Premium,1,No,1.0,
T2333,33,16.93,Horror,Premium,2,Yes,0.0,
B7099,23,20.99,Drama,Premium,1,Yes,3.0,
W4300,57,14.89,Action,VIP,1,Yes,1.0,
T7976,36,21.72,Horror,Premium,4,Yes,3.0,
Y3795,50,13.83,Action,Premium,4,Yes,1.0,
S9225,18,20.74,Sci-Fi,Standard,1,Yes,3.0,
A2565,30,20.19,Sci-Fi,Premium,1,Yes,3.0,
N4849,23,14.53,Sci-Fi,Premium,1,No,0.0,
E0520,21,17.65,Sci-Fi,VIP,5,Yes,2.0,
D6523,38,24.27,Horror,VIP,1,Yes,3.0,
V9448,19,20.35,Sci-Fi,Premium,1,Yes,3.0,
Y7647,33,14.59,Sci-Fi,Standard,3,No,0.0,
Q4486,27,17.76,Comedy,Standard,3,No,3.0,
N7144,26,13.46,Drama,Standard,7,Yes,2.0,
E2517,35,18.31,Sci-Fi,VIP,6,No,2.0,
C7925,58,13.52,Comedy,VIP,3,Yes,1.0,
I8324,53,23.5,Action,VIP,1,No,4.0,
E8470,41,21.57,Drama,Premium,1,No,4.0,
K6968,36,21.89,Drama,Standard,1,No,3.0,
W1261,31,23.23,Sci-Fi,Standard,5,No,2.0,
J0515,34,19.26,Action,Premium,1,Yes,3.0,
M9663,32,13.1,Drama,Standard,2,Yes,0.0,
H3987,58,13.58,Action,VIP,5,Yes,1.0,
U3922,27,16.09,Comedy,Premium,6,No,2.0,
R1976,27,15.31,Horror,VIP,1,No,0.0,
O6512,32,13.1,Sci-Fi,Premium,7,No,2.0,
G1300,42,17.28,Horror,Premium,6,Yes,2.0,
A8680,35,13.74,Horror,Standard,3,Yes,0.0,
I8624,49,15.21,Horror,Premium,1,Yes,1.0,
L3353,27,11.99,Horror,Standard,4,Yes,0.0,
Q3821,58,21.66,Sci-Fi,Standard,1,No,4.0,
O7821,42,17.22,Horror,VIP,5,No,2.0,
O6340,32,11.61,Comedy,Premium,1,No,0.0,
S9743,18,21.81,Horror,VIP,1,No,3.0,
S2007,22,24.3,Sci-Fi,Premium,1,Yes,3.0,
G5084,42,23.0,Action,Standard,1,No,4.0,
Y8732,32,21.93,Action,Premium,1,No,3.0,
B5225,41,24.78,Horror,VIP,7,Yes,2.0,
M2131,41,16.68,Action,Standard,1,Yes,1.0,
A6849,28,15.12,Sci-Fi,VIP,3,No,0.0,
P1578,26,11.22,Action,Standard,1,Yes,0.0,
H6205,27,18.77,Horror,VIP,5,Yes,2.0,
G9545,60,13.82,Horror,Standard,7,Yes,2.0,
Y9176,28,19.28,Drama,Standard,1,Yes,3.0,
V8990,29,24.75,Comedy,VIP,1,No,3.0,
Q3755,20,20.16,Action,VIP,1,Yes,3.0,
G2856,45,22.28,Sci-Fi,Standard,5,No,2.0,
F7597,41,10.79,Sci-Fi,VIP,7,No,2.0,
K0082,31,23.82,Comedy,Standard,1,No,3.0,
C0135,20,14.5,Drama,Standard,6,No,2.0,
H4754,43,17.08,Drama,Standard,5,Yes,2.0,
V6465,21,11.57,Action,VIP,1,No,0.0,
V5895,30,21.69,Drama,VIP,5,Yes,2.0,
C8119,46,19.99,Comedy,Premium,1,No,4.0,
I6253,53,14.99,Drama,VIP,1,No,1.0,
M3668,51,14.63,Action,Premium,7,Yes,2.0,
P1758,28,24.3,Comedy,VIP,7,No,2.0,
